dirname	naigai	page_type	right_box_type	homen	country	first_level	second_level	senmon_name_ja	senmon_name_en	URL	Dest	Country	City	page_code	page_color	page_caption	page_caption_sp	map_not_display	map_default_display	csv_photo	csv_recommend	csv_free_area	csv_special	csv_keyword	csv_tourist_information	csv_yobi2	csv_yobi3	key_jiyuzin_tour_data_kyoten	key_jiyuzin_tour_data_csv_path	key_jiyuzin_tour_data_article_title	key_bus_tour_data_kyoten	key_bus_tour_data_csv_path	key_bus_tour_data_article_title	bus_tour_url	tag_country_common_info	tag_related_links	genchi_blog_disp_num_pc	genchi_blog_disp_num_sp	dp_link	dp_link_sp	search_mokuteki_country	search_mokuteki_country_unlimited_flag	search_mokuteki_country_initial_selection	blogGenchi_url	heritage_url	blog_new_rss_url	best7_display_flag	genchi_blog_display_flag	country_common_info_display_flag	sightseeing_info_display_flag	guide_more_url	guide_path	first_level_name
/tahiti	i	A	country	s-pacific/	tahiti/	tahiti/		タヒチ	Tahiti	tahiti/	FOC	PF		FOC-PF	set08	タヒチ旅行・タヒチツアーなら阪急交通社。南太平洋の楽園タヒチ島。ブルーに透き通ったサンゴの海に水上コテージが並ぶボラボラ島やタヒチの首都パペーテなど、タヒチは見所いっぱいです。	タヒチ旅行・ツアーなら阪急交通社。サンゴの海に水上コテージが並ぶボラボラ島やパペーテなどタヒチは見所いっぱいです。	0		/var/www/html/cms/articles/contents_i/csv/csv_s-pacific_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_tahiti_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_tahiti_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_tahiti_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_tahiti_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kaigai/setting/master_senmon_kaigai_guide_2017.csv										<ul class='basic-information clear color-blue font-14'><li><a href='http://www.hankyu-travel.com/guide/s-pacific/t-country.php'><p class='list-inline'><i class='icon icon-binfo1 icon-binfo mid'></i><span class='mid'>概要・気候・祝祭日</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/s-pacific/money.php'><p class='list-inline'><i class='icon icon-binfo2 icon-binfo mid'></i><span class='mid'>通貨・両替</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/s-pacific/money.php#guide_money_plug'><p class='list-inline'><i class='icon icon-binfo3 icon-binfo mid'></i><span class='mid'>電圧・プラグ</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/s-pacific/immigration.php'><p class='list-inline'><i class='icon icon-binfo4 icon-binfo mid'></i><span class='mid'>入国・出国</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/s-pacific/phone.php'><p class='list-inline'><i class='icon icon-binfo5 icon-binfo mid'></i><span class='mid'>水事情</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/s-pacific/phone.php#guide_phone_phone'><p class='list-inline'><i class='icon icon-binfo6 icon-binfo mid'></i><span class='mid'>電話・郵便</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/s-pacific/trouble.php'><p class='list-inline'><i class='icon icon-binfo7 icon-binfo mid'></i><span class='mid'>トラブル・治安</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/s-pacific/trouble.php#guide_trouble_manner'><p class='list-inline'><i class='icon icon-binfo8 icon-binfo mid'></i><span class='mid'>マナー</span></p></a></li></ul>	<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>タヒチの関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.tahiti-tourisme.jp/' target='_blank'>タヒチ観光局</a></li></ul>	5	5	http://www.hankyu-travel.com/dp/?area=OSE&country=PF&airport=PPT	http://www.hankyu-travel.com/dpsp/?area=OSE&country=PF&airport=PPT				/kaigai/s-pacific/tahiti/index.xml		/rss/tahiti/index.xml	0	1	1	1			タヒチ
/tahiti/papeete	i	DS	city	s-pacific/	tahiti/	tahiti/	papeete/	パペーテ	Papeete	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=FOC&p_country=PF&p_city=PPT	FOC	PF	PPT	FOC-PF-PPT				0																																			タヒチ
/tahiti/borabora	i	DS	city	s-pacific/	tahiti/	tahiti/	borabora/	ボラボラ島	Bora Bora	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=FOC&p_country=PF&p_city=BOB	FOC	PF	BOB	FOC-PF-BOB				0																																			タヒチ
/tahiti/mooreaisland	i	DS	city	s-pacific/	tahiti/	tahiti/	mooreaisland/	モーレア島	Moorea Island	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=FOC&p_country=PF&p_city=MOZ	FOC	PF	MOZ	FOC-PF-MOZ				0																																			タヒチ
/tahiti/rangiroa	i	DS	city	s-pacific/	tahiti/	tahiti/	rangiroa/	ランギロア島	Rangiroa	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=FOC&p_country=PF&p_city=RGI	FOC	PF	RGI	FOC-PF-RGI				0																																			タヒチ
/tahiti/fahineisland	i	DS	city	s-pacific/	tahiti/	tahiti/	fahineisland/	ファヒネ島	Fa Hine Island	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=FOC&p_country=PF&p_city=HUH	FOC	PF	HUH	FOC-PF-HUH				0																																			タヒチ
/tahiti/raiathia	i	DS	city	s-pacific/	tahiti/	tahiti/	raiathia/	ライアティア	Raiathia	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=FOC&p_country=PF&p_city=RFP	FOC	PF	RFP	FOC-PF-RFP				0																																			タヒチ
/tahiti/tikehau	i	DS	city	s-pacific/	tahiti/	tahiti/	tikehau/	ティケハウ	Tikehau	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=FOC&p_country=PF&p_city=TIH	FOC	PF	TIH	FOC-PF-TIH				0																																			タヒチ
/vanuatu	i	DS	country	s-pacific/	vanuatu/	vanuatu/		バヌアツ	Vanuatu	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=FOC&p_country=VU	FOC	VU		FOC-VU				0																																			バヌアツ
/newcaledonia	i	A	country	s-pacific/	newcaledonia/	newcaledonia/		ニューカレドニア	New Caledonia	newcaledonia/	FOC	NC,PG,VU		FOC-NC_PG_VU	set09	ニューカレドニア旅行・ニューカレドニアツアーなら阪急交通社。南太平洋に浮かぶプチフランス・ニューカレドニア。南太平洋の宝石箱イル・デ・パンなど、ニューカレドニアは見所いっぱいです。	ニューカレドニア旅行・ツアーなら阪急交通社。南太平洋の宝石箱イル・デ・パンなどニューカレドニアは見所いっぱいです。	0		/var/www/html/cms/articles/contents_i/csv/csv_s-pacific_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_newcaledonia_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_newcaledonia_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_newcaledonia_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_newcaledonia_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kaigai/setting/master_senmon_kaigai_guide_2017.csv										<ul class='basic-information clear color-blue font-14'><li><a href='http://www.hankyu-travel.com/guide/s-pacific/n-country.php'><p class='list-inline'><i class='icon icon-binfo1 icon-binfo mid'></i><span class='mid'>概要・気候・祝祭日</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/s-pacific/money.php'><p class='list-inline'><i class='icon icon-binfo2 icon-binfo mid'></i><span class='mid'>通貨・両替</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/s-pacific/money.php#guide_money_plug'><p class='list-inline'><i class='icon icon-binfo3 icon-binfo mid'></i><span class='mid'>電圧・プラグ</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/s-pacific/immigration.php'><p class='list-inline'><i class='icon icon-binfo4 icon-binfo mid'></i><span class='mid'>入国・出国</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/s-pacific/phone.php'><p class='list-inline'><i class='icon icon-binfo5 icon-binfo mid'></i><span class='mid'>水事情</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/s-pacific/phone.php#guide_phone_phone'><p class='list-inline'><i class='icon icon-binfo6 icon-binfo mid'></i><span class='mid'>電話・郵便</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/s-pacific/trouble.php'><p class='list-inline'><i class='icon icon-binfo7 icon-binfo mid'></i><span class='mid'>トラブル・治安</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/s-pacific/trouble.php#guide_trouble_manner'><p class='list-inline'><i class='icon icon-binfo8 icon-binfo mid'></i><span class='mid'>マナー</span></p></a></li></ul>	<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>ニューカレドニアの関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.newcaledonia.jp/' target='_blank'>ニューカレドニア観光局</a></li></ul>	5	5	http://www.hankyu-travel.com/dp/?area=OSE&country=NC&airport=NOU	http://www.hankyu-travel.com/dpsp/?area=OSE&country=NC&airport=NOU	ニューカレドニア,バヌアツ			/kaigai/s-pacific/newcaledonia/index.xml	http://www.hankyu-travel.com/heritage/france/	/rss/newcaledonia/index.xml	0	1	1	1			ニューカレドニア
